Dates,SPX Index,XAU Curncy,HG1 Comdty,MXEF Index,CL1 Comdty,JPY Curncy,,
1/2/1980,105.76,559.5,#N/A N/A,#N/A N/A,#N/A N/A,238.45,,
1/3/1980,105.22,634,#N/A N/A,#N/A N/A,#N/A N/A,238.35,,
1/4/1980,106.52,588,#N/A N/A,#N/A N/A,#N/A N/A,234.8,,
1/7/1980,106.81,633.5,#N/A N/A,#N/A N/A,#N/A N/A,231.55,,
1/8/1980,108.95,610,#N/A N/A,#N/A N/A,#N/A N/A,234.75,,
1/9/1980,109.05,607.2,#N/A N/A,#N/A N/A,#N/A N/A,234.95,,
1/10/1980,109.89,602.85,#N/A N/A,#N/A N/A,#N/A N/A,235.8,,
1/11/1980,109.92,623,#N/A N/A,#N/A N/A,#N/A N/A,236.05,,
1/14/1980,110.38,660,#N/A N/A,#N/A N/A,#N/A N/A,236.2,,
1/15/1980,111.14,684,#N/A N/A,#N/A N/A,#N/A N/A,239.65,,
1/16/1980,111.05,760,#N/A N/A,#N/A N/A,#N/A N/A,238.15,,
1/17/1980,110.7,750,#N/A N/A,#N/A N/A,#N/A N/A,239.9,,
1/18/1980,111.07,835,#N/A N/A,#N/A N/A,#N/A N/A,239.65,,
1/21/1980,112.1,850,#N/A N/A,#N/A N/A,#N/A N/A,241,,
1/22/1980,111.51,737.5,#N/A N/A,#N/A N/A,#N/A N/A,239.7,,
1/23/1980,113.44,695,#N/A N/A,#N/A N/A,#N/A N/A,237.25,,
1/24/1980,113.7,717,#N/A N/A,#N/A N/A,#N/A N/A,239.35,,
1/25/1980,113.61,668,#N/A N/A,#N/A N/A,#N/A N/A,239.6,,
1/28/1980,114.85,624,#N/A N/A,#N/A N/A,#N/A N/A,240.22,,
1/29/1980,114.07,674.25,#N/A N/A,#N/A N/A,#N/A N/A,239.35,,
1/30/1980,115.2,691,#N/A N/A,#N/A N/A,#N/A N/A,239.5,,
1/31/1980,114.16,653,#N/A N/A,#N/A N/A,#N/A N/A,239.33,,
2/1/1980,115.12,676.5,#N/A N/A,#N/A N/A,#N/A N/A,240.45,,
2/4/1980,114.37,669.75,#N/A N/A,#N/A N/A,#N/A N/A,240.29,,
2/5/1980,114.66,682,#N/A N/A,#N/A N/A,#N/A N/A,240.1,,
2/6/1980,115.72,709,#N/A N/A,#N/A N/A,#N/A N/A,240.1,,
2/7/1980,116.28,699.25,#N/A N/A,#N/A N/A,#N/A N/A,240.09,,
2/8/1980,117.95,692,#N/A N/A,#N/A N/A,#N/A N/A,241.65,,
2/11/1980,117.12,710.5,#N/A N/A,#N/A N/A,#N/A N/A,241.4,,
2/12/1980,117.9,694.5,#N/A N/A,#N/A N/A,#N/A N/A,241.4,,
2/13/1980,118.44,696.75,#N/A N/A,#N/A N/A,#N/A N/A,242.1,,
2/14/1980,116.72,682,#N/A N/A,#N/A N/A,#N/A N/A,243.39,,
2/15/1980,115.41,667,#N/A N/A,#N/A N/A,#N/A N/A,243.2,,
2/18/1980,115.41,661.5,#N/A N/A,#N/A N/A,#N/A N/A,243.2,,
2/19/1980,114.6,652.25,#N/A N/A,#N/A N/A,#N/A N/A,245.36,,
2/20/1980,116.47,606,#N/A N/A,#N/A N/A,#N/A N/A,246.05,,
2/21/1980,115.28,665,#N/A N/A,#N/A N/A,#N/A N/A,246.09,,
2/22/1980,115.04,630,#N/A N/A,#N/A N/A,#N/A N/A,247.45,,
2/25/1980,113.33,616.5,#N/A N/A,#N/A N/A,#N/A N/A,248.35,,
2/26/1980,113.98,642.25,#N/A N/A,#N/A N/A,#N/A N/A,248.08,,
2/27/1980,112.38,636,#N/A N/A,#N/A N/A,#N/A N/A,248.45,,
2/28/1980,112.35,646,#N/A N/A,#N/A N/A,#N/A N/A,248.4,,
2/29/1980,113.66,637,#N/A N/A,#N/A N/A,#N/A N/A,251.65,,
3/3/1980,112.5,633.75,#N/A N/A,#N/A N/A,#N/A N/A,247.85,,
