Dates,XAU Curncy,XAG Curncy,CL1 Comdty,HG1 Comdty,SPX Index,CCMP Index,JPY Curncy,CAD Curncy,CNY Curncy,EUR Curncy,HKD Curncy,HSI Index,MXCN Index,MXEF Index,SPTSX Index,AAPL US Equity,MSFT US Equity,5 HK Equity,TD CN Equity,TD CN Equity,TD CT Equity,RBC LN Equity,BNS CN Equity
1/2/1980,559.5,39.95,#N/A N/A,#N/A N/A,105.76,148.17,238.45,1.1658,#N/A N/A,1.5149,4.822,889.13,#N/A N/A,#N/A N/A,1806.08,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/3/1980,634,37,#N/A N/A,#N/A N/A,105.22,145.97,238.35,1.1703,#N/A N/A,1.5177,4.813,862.06,#N/A N/A,#N/A N/A,1789.39,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/4/1980,588,32.75,#N/A N/A,#N/A N/A,106.52,148.02,234.8,1.1687,#N/A N/A,1.5129,4.817,848.84,#N/A N/A,#N/A N/A,1795.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/7/1980,633.5,39,#N/A N/A,#N/A N/A,106.81,148.62,231.55,1.1694,#N/A N/A,1.5168,4.791,816.18,#N/A N/A,#N/A N/A,1814.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/8/1980,610,33.52,#N/A N/A,#N/A N/A,108.95,150.68,234.75,1.1698,#N/A N/A,1.5108,4.792,848.32,#N/A N/A,#N/A N/A,1832.62,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/9/1980,607.2,33.15,#N/A N/A,#N/A N/A,109.05,151.6,234.95,1.1686,#N/A N/A,1.5161,4.793,850.75,#N/A N/A,#N/A N/A,1853.98,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/10/1980,602.85,33.955,#N/A N/A,#N/A N/A,109.89,153.12,235.8,1.165,#N/A N/A,1.5133,4.798,853.21,#N/A N/A,#N/A N/A,1884.06,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/11/1980,623,36.61,#N/A N/A,#N/A N/A,109.92,153.87,236.05,1.165,#N/A N/A,1.5108,4.804,846.47,#N/A N/A,#N/A N/A,1898.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/14/1980,660,39.75,#N/A N/A,#N/A N/A,110.38,154.4,236.2,1.1663,#N/A N/A,1.511,4.845,842.51,#N/A N/A,#N/A N/A,1922.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/15/1980,684,44,#N/A N/A,#N/A N/A,111.14,154.96,239.65,1.1658,#N/A N/A,1.5047,4.857,833.86,#N/A N/A,#N/A N/A,1944.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/16/1980,760,48.012,#N/A N/A,#N/A N/A,111.05,155.99,238.15,1.1644,#N/A N/A,1.5074,4.843,842.29,#N/A N/A,#N/A N/A,1946.83,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/17/1980,750,43.35,#N/A N/A,#N/A N/A,110.7,155.81,239.9,1.1613,#N/A N/A,1.5074,4.855,860.94,#N/A N/A,#N/A N/A,1968.13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/18/1980,835,49.45,#N/A N/A,#N/A N/A,111.07,156.14,239.65,1.1617,#N/A N/A,1.5083,4.88,854.87,#N/A N/A,#N/A N/A,1966.71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/21/1980,850,49,#N/A N/A,#N/A N/A,112.1,157.35,241,1.1611,#N/A N/A,1.5053,4.891,873.82,#N/A N/A,#N/A N/A,1973.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/22/1980,737.5,41.55,#N/A N/A,#N/A N/A,111.51,156.92,239.7,1.159,#N/A N/A,1.5006,4.875,884.91,#N/A N/A,#N/A N/A,1920.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/23/1980,695,38.478,#N/A N/A,#N/A N/A,113.44,158.5,237.25,1.1603,#N/A N/A,1.5035,4.857,878.56,#N/A N/A,#N/A N/A,1934.08,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
