Dates,USDCAD Curncy,USDGBP Curncy,USDEUR Curncy,USDCHF Curncy,USDAUD Curncy,USDNZD Curncy,USDILS Curncy,USDJPY Curncy,USDSGD Curncy
1/3/1980,1.1703,0.4464,0.6589,1.572,0.9025,1.0152,#N/A N/A,238.35,#N/A N/A
1/4/1980,1.1687,0.447,0.661,1.5755,0.9014,1.0121,#N/A N/A,234.8,#N/A N/A
1/7/1980,1.1694,0.4422,0.6593,1.57,0.9017,1.0142,#N/A N/A,231.55,#N/A N/A
1/8/1980,1.1698,0.4421,0.6619,1.577,0.8983,1.0101,#N/A N/A,234.75,#N/A N/A
1/9/1980,1.1686,0.4413,0.6596,1.574,0.8989,1.0096,#N/A N/A,234.95,#N/A N/A
1/10/1980,1.165,0.4429,0.6608,1.579,0.8985,1.0091,#N/A N/A,235.8,#N/A N/A
1/11/1980,1.165,0.4431,0.6619,1.583,0.8993,1.0111,#N/A N/A,236.05,#N/A N/A
1/14/1980,1.1663,0.4395,0.6618,1.583,0.9001,1.0101,#N/A N/A,236.2,#N/A N/A
1/15/1980,1.1658,0.4393,0.6646,1.595,0.9003,1.0121,#N/A N/A,239.65,#N/A N/A
1/16/1980,1.1644,0.4403,0.6634,1.585,0.9021,1.0132,#N/A N/A,238.15,#N/A N/A
1/17/1980,1.1613,0.4392,0.6634,1.593,0.9005,1.0134,#N/A N/A,239.9,#N/A N/A
1/18/1980,1.1617,0.4375,0.663,1.593,0.9009,1.0132,#N/A N/A,239.65,#N/A N/A
1/21/1980,1.1611,0.4379,0.6643,1.6045,0.9007,1.0132,#N/A N/A,241,#N/A N/A
1/22/1980,1.159,0.4396,0.6664,1.609,0.9013,1.0121,#N/A N/A,239.7,#N/A N/A
1/23/1980,1.1603,0.4391,0.6651,1.606,0.9019,1.0132,#N/A N/A,237.25,#N/A N/A
1/24/1980,1.1569,0.439,0.6655,1.6085,0.8997,1.0132,#N/A N/A,239.35,#N/A N/A
1/25/1980,1.1609,0.4423,0.6665,1.616,0.9014,1.0137,#N/A N/A,239.6,#N/A N/A
1/28/1980,1.1637,0.4449,0.667,1.6188,0.9023,1.0127,#N/A N/A,240.22,#N/A N/A
1/29/1980,1.1638,0.4445,0.6676,1.617,0.9029,1.0173,#N/A N/A,239.35,#N/A N/A
1/30/1980,1.1617,0.4421,0.6673,1.6215,0.9043,1.0183,#N/A N/A,239.5,#N/A N/A
1/31/1980,1.1585,0.4412,0.6691,1.638,0.9032,1.0183,#N/A N/A,239.33,#N/A N/A
2/1/1980,1.156,0.4398,0.6703,1.6335,0.9036,1.0168,#N/A N/A,240.45,#N/A N/A
2/4/1980,1.1588,0.4373,0.6701,1.631,0.9047,1.0183,#N/A N/A,240.29,#N/A N/A
2/5/1980,1.1618,0.4366,0.6688,1.626,0.904,1.0178,#N/A N/A,240.1,#N/A N/A
2/6/1980,1.1597,0.4325,0.667,1.606,0.903,1.0152,#N/A N/A,240.1,#N/A N/A
2/7/1980,1.1587,0.4345,0.6677,1.616,0.9024,1.0134,#N/A N/A,240.09,#N/A N/A
2/8/1980,1.159,0.4352,0.669,1.619,0.9016,1.0116,#N/A N/A,241.65,#N/A N/A
2/11/1980,1.1589,0.4339,0.6676,1.617,0.9031,1.0147,#N/A N/A,241.4,#N/A N/A
2/12/1980,1.1589,0.4339,0.6682,1.617,0.9031,1.0147,#N/A N/A,241.4,#N/A N/A
2/13/1980,1.1615,0.4333,0.6665,1.6133,0.9031,1.0147,#N/A N/A,242.1,#N/A N/A
2/14/1980,1.1598,0.4323,0.6662,1.617,0.9038,1.0178,#N/A N/A,243.39,#N/A N/A
2/15/1980,1.1621,0.4357,0.668,1.629,0.9038,1.0166,#N/A N/A,243.2,#N/A N/A
