Dates,SPX Index,INDU Index,UKX Index,SPTSX Index,HSI Index,NKY Index,MXEF Index,SXXP Index,DAX Index
1/3/1980,105.22,820.31,#N/A N/A,1789.39,862.06,6569.47,#N/A N/A,#N/A N/A,485.7
1/4/1980,106.52,828.84,#N/A N/A,1795.2,848.84,6560.16,#N/A N/A,#N/A N/A,491.8
1/7/1980,106.81,832,#N/A N/A,1814.12,816.18,6552.65,#N/A N/A,#N/A N/A,492.5
1/8/1980,108.95,851.71,#N/A N/A,1832.62,848.32,6563.28,#N/A N/A,#N/A N/A,494.1
1/9/1980,109.05,850.09,#N/A N/A,1853.98,850.75,6591.83,#N/A N/A,#N/A N/A,498
1/10/1980,109.89,858.96,#N/A N/A,1884.06,853.21,6594.01,#N/A N/A,#N/A N/A,497.2
1/11/1980,109.92,858.53,#N/A N/A,1898.72,846.47,6615.51,#N/A N/A,#N/A N/A,495.9
1/14/1980,110.38,863.57,#N/A N/A,1922.2,842.51,6659.55,#N/A N/A,#N/A N/A,493
1/15/1980,111.14,868.6,#N/A N/A,1944.5,833.86,6659.55,#N/A N/A,#N/A N/A,492.6
1/16/1980,111.05,865.19,#N/A N/A,1946.83,842.29,6653.26,#N/A N/A,#N/A N/A,491.4
1/17/1980,110.7,863.57,#N/A N/A,1968.13,860.94,6656.3,#N/A N/A,#N/A N/A,489.6
1/18/1980,111.07,867.15,#N/A N/A,1966.71,854.87,6649.3,#N/A N/A,#N/A N/A,484.2
1/21/1980,112.1,872.78,#N/A N/A,1973.19,873.82,6666.27,#N/A N/A,#N/A N/A,483.1
1/22/1980,111.51,866.21,#N/A N/A,1920.72,884.91,6684.59,#N/A N/A,#N/A N/A,488.7
1/23/1980,113.44,877.56,#N/A N/A,1934.08,878.56,6694.19,#N/A N/A,#N/A N/A,490.8
1/24/1980,113.7,879.95,#N/A N/A,1952.58,901.27,6746.93,#N/A N/A,#N/A N/A,496.5
1/25/1980,113.61,876.11,#N/A N/A,1955.11,920.01,6767.71,#N/A N/A,#N/A N/A,494.3
1/28/1980,114.85,878.5,#N/A N/A,1972.69,926.08,6763.61,#N/A N/A,#N/A N/A,492.6
1/29/1980,114.07,874.4,#N/A N/A,1988.65,936.83,6770.83,#N/A N/A,#N/A N/A,494.5
1/30/1980,115.2,881.91,#N/A N/A,2025.6,913.59,6776.6,#N/A N/A,#N/A N/A,497.1
1/31/1980,114.16,875.85,#N/A N/A,2027.7,907.5,6768.16,#N/A N/A,#N/A N/A,504
2/1/1980,115.12,881.48,#N/A N/A,2032.61,893.77,6777.64,#N/A N/A,#N/A N/A,509.1
2/4/1980,114.37,875.09,#N/A N/A,2039.82,920.61,6794.21,#N/A N/A,#N/A N/A,513.5
2/5/1980,114.66,876.62,#N/A N/A,2018.68,927.4,6765.12,#N/A N/A,#N/A N/A,513.4
2/6/1980,115.72,881.83,#N/A N/A,2022.87,914.95,6800.33,#N/A N/A,#N/A N/A,509.6
2/7/1980,116.28,885.49,#N/A N/A,2052.88,911.35,6795.62,#N/A N/A,#N/A N/A,515.3
2/8/1980,117.95,895.73,#N/A N/A,2101.13,907.78,6816.03,#N/A N/A,#N/A N/A,517.8
2/11/1980,117.12,889.59,#N/A N/A,2118.59,909.67,6816.03,#N/A N/A,#N/A N/A,516.3
2/12/1980,117.9,898.98,#N/A N/A,2117.1,934.03,6828.05,#N/A N/A,#N/A N/A,510.3
2/13/1980,118.44,903.84,#N/A N/A,2107.74,937.24,6835.99,#N/A N/A,#N/A N/A,521.3
2/14/1980,116.72,893.77,#N/A N/A,2044.98,961.21,6839.86,#N/A N/A,#N/A N/A,525.8
2/15/1980,115.41,884.98,#N/A N/A,2044.91,963.17,6827.71,#N/A N/A,#N/A N/A,523.9
2/18/1980,115.41,884.98,#N/A N/A,2068.52,963.17,6756.6,#N/A N/A,#N/A N/A,520.1
2/19/1980,114.6,876.02,#N/A N/A,2093.42,963.17,6763.09,#N/A N/A,#N/A N/A,525.3
2/20/1980,116.47,886.86,#N/A N/A,2125.41,949.89,6806.01,#N/A N/A,#N/A N/A,523.8
2/21/1980,115.28,868.52,#N/A N/A,2144.52,943.44,6776.51,#N/A N/A,#N/A N/A,528.9
2/22/1980,115.04,868.77,#N/A N/A,2140,929.55,6783.22,#N/A N/A,#N/A N/A,531.9
2/25/1980,113.33,859.81,#N/A N/A,2118.95,902.2,6751.29,#N/A N/A,#N/A N/A,535.2
2/26/1980,113.98,864.25,#N/A N/A,2145.99,894.99,6739.43,#N/A N/A,#N/A N/A,528.8
2/27/1980,112.38,855.12,#N/A N/A,2165.89,876.15,6777.34,#N/A N/A,#N/A N/A,528.7
2/28/1980,112.35,854.44,#N/A N/A,2177.61,918.74,6743.99,#N/A N/A,#N/A N/A,520.3
