Dates,JNJ US Equity,JPM US Equity,XOM US Equity,BHP AU Equity,GE US Equity,KO US Equity,BA US Equity,INTC US Equity,WMT US Equity
1/3/1980,1.601,#N/A N/A,#N/A N/A,0.9155,1.0286,0.7214,#N/A N/A,#N/A N/A,0.1294
1/4/1980,1.625,#N/A N/A,#N/A N/A,0.9155,1.0625,0.7292,#N/A N/A,#N/A N/A,0.1323
1/7/1980,1.622,#N/A N/A,#N/A N/A,0.9155,1.099,0.7266,#N/A N/A,#N/A N/A,0.1318
1/8/1980,1.688,#N/A N/A,#N/A N/A,0.9155,1.138,0.7318,#N/A N/A,#N/A N/A,0.1343
1/9/1980,1.661,#N/A N/A,#N/A N/A,0.9155,1.125,0.737,#N/A N/A,#N/A N/A,0.1348
1/10/1980,1.659,#N/A N/A,#N/A N/A,0.9155,1.1302,0.737,#N/A N/A,#N/A N/A,0.1377
1/11/1980,1.649,#N/A N/A,#N/A N/A,0.9155,1.1276,0.7396,#N/A N/A,#N/A N/A,0.1367
1/14/1980,1.628,#N/A N/A,#N/A N/A,0.9155,1.1276,0.737,#N/A N/A,#N/A N/A,0.1387
1/15/1980,1.63,#N/A N/A,#N/A N/A,0.9155,1.1016,0.724,#N/A N/A,#N/A N/A,0.1367
1/16/1980,1.62,#N/A N/A,#N/A N/A,0.9155,1.1146,0.7005,#N/A N/A,#N/A N/A,0.1372
1/17/1980,1.599,#N/A N/A,#N/A N/A,0.9155,1.1146,0.6875,#N/A N/A,#N/A N/A,0.1338
1/18/1980,1.589,#N/A N/A,#N/A N/A,0.9155,1.1146,0.6849,#N/A N/A,#N/A N/A,0.1289
1/21/1980,1.609,#N/A N/A,#N/A N/A,0.9155,1.138,0.6979,#N/A N/A,#N/A N/A,0.127
1/22/1980,1.599,#N/A N/A,#N/A N/A,0.9155,1.1172,0.6901,#N/A N/A,#N/A N/A,0.1294
1/23/1980,1.609,#N/A N/A,#N/A N/A,0.9155,1.1406,0.6927,#N/A N/A,#N/A N/A,0.1289
1/24/1980,1.599,#N/A N/A,#N/A N/A,0.9155,1.138,0.6875,#N/A N/A,#N/A N/A,0.1323
1/25/1980,1.583,#N/A N/A,#N/A N/A,0.9155,1.1432,0.6875,#N/A N/A,#N/A N/A,0.1348
1/28/1980,1.604,#N/A N/A,#N/A N/A,0.9155,1.1537,0.7109,#N/A N/A,#N/A N/A,0.1348
1/29/1980,1.583,#N/A N/A,#N/A N/A,0.9155,1.1328,0.7214,#N/A N/A,#N/A N/A,0.1377
1/30/1980,1.57,#N/A N/A,#N/A N/A,0.9155,1.1719,0.7292,#N/A N/A,#N/A N/A,0.1377
1/31/1980,1.57,#N/A N/A,#N/A N/A,1.0914,1.1458,0.7318,#N/A N/A,#N/A N/A,0.1392
2/1/1980,1.563,#N/A N/A,#N/A N/A,1.0914,1.1641,0.7266,#N/A N/A,#N/A N/A,0.1387
2/4/1980,1.57,#N/A N/A,#N/A N/A,1.0914,1.1458,0.7214,#N/A N/A,#N/A N/A,0.1338
2/5/1980,1.578,#N/A N/A,#N/A N/A,1.0914,1.1615,0.7135,#N/A N/A,#N/A N/A,0.1382
2/6/1980,1.573,#N/A N/A,#N/A N/A,1.0914,1.1719,0.7005,#N/A N/A,#N/A N/A,0.1377
